"PLZ6";"KANTON";"ORT";"GEMEINDE_NR";"GEMEINDE_BEZ";"BEZIRK_NR";"BEZIRK_BEZ";"ANZ_PERSONEN";"ANZ_HAUSHALTE";"ANZ_PERSONEN_MANNL";"ANZ_PERSONEN_WEIBL";"Longitude";"Latitude"
698116;"TI";"Banco";5149;"Bedigliora";2105;"Distretto di Lugano";292;121;146;146;8.856997423;45.982545
698200;"TI";"Agno";5141;"Agno";2105;"Distretto di Lugano";3916;1844;1859;2057;8.90016171305649;46.000155806833
698300;"TI";"Magliaso";5193;"Magliaso";2105;"Distretto di Lugano";1501;635;721;780;8.88861662675819;45.9819692549818
698400;"TI";"Pura";5216;"Pura";2105;"Distretto di Lugano";1419;579;694;725;8.865617;45.979745
698600;"TI";"Novaggio";5207;"Novaggio";2105;"Distretto di Lugano";814;350;377;437;8.8494622961772;46.0312566491357
698602;"TI";"Miglieglia";5200;"Miglieglia";2105;"Distretto di Lugano";289;131;140;149;8.8494622961772;46.0312566491357
698603;"TI";"Curio";5181;"Curio";2105;"Distretto di Lugano";491;206;238;253;8.8494622961772;46.0312566491357
698700;"TI";"Caslano";5171;"Caslano";2105;"Distretto di Lugano";4256;1884;2002;2254;8.87952662978802;45.9698771440457
698800;"TI";"Ponte Tresa";5213;"Ponte Tresa";2105;"Distretto di Lugano";806;427;395;411;8.85836591578881;45.9716034733821
698900;"TI";"Purasca";5178;"Croglio";2105;"Distretto di Lugano";284;160;134;150;8.84869;45.98035
699000;"TI";"Cassina d'Agno";5141;"Agno";2105;"Distretto di Lugano";388;162;183;205;8.891471;45.991866
699100;"TI";"Neggio";5206;"Neggio";2105;"Distretto di Lugano";335;140;163;172;8.87179;45.988876
699200;"TI";"Vernate";5230;"Vernate";2105;"Distretto di Lugano";586;266;287;299;8.88043978658243;45.9957585559185
699201;"TI";"Cimo";5151;"Bioggio";2105;"Distretto di Lugano";467;167;222;245;8.88043978658243;45.9957585559185
699300;"TI";"Iseo";5151;"Bioggio";2105;"Distretto di Lugano";136;49;65;71;8.876042;46.005285
699400;"TI";"Aranno";5143;"Aranno";2105;"Distretto di Lugano";325;134;153;172;8.873829;46.019117
699500;"TI";"Molinazzo di Monteggio";5202;"Monteggio";2105;"Distretto di Lugano";266;154;129;137;8.82915;45.988361
699502;"TI";"Madonna del Piano";5178;"Croglio";2105;"Distretto di Lugano";161;63;76;85;8.82915;45.988361
699600;"TI";"Ponte Cremenaga";5202;"Monteggio";2105;"Distretto di Lugano";293;120;142;151;8.8085;45.990735
699700;"TI";"Sessa";5222;"Sessa";2105;"Distretto di Lugano";684;308;321;363;8.816283;46.003203
699800;"TI";"Termine";5202;"Monteggio";2105;"Distretto di Lugano";333;137;164;169;8.792089;45.99934
699900;"TI";"Astano";5146;"Astano";2105;"Distretto di Lugano";297;144;141;156;8.816413;46.015091
700000;"GR";"Chur";3901;"Chur";1829;"Bezirk Plessur";34350;17145;16595;17755;9.53013993916933;46.8521107310644
701200;"GR";"Felsberg";3731;"Felsberg";1824;"Bezirk Imboden";2429;975;1228;1201;9.4627493874269;46.8565258207346
701300;"GR";"Domat/Ems";3722;"Domat/Ems";1824;"Bezirk Imboden";7554;3111;3777;3777;9.453258;46.819805
701400;"GR";"Trin";3734;"Trin";1824;"Bezirk Imboden";774;348;398;376;9.33029974273841;46.862417666309
701500;"GR";"Tamins";3733;"Tamins";1824;"Bezirk Imboden";1202;532;614;588;9.403128;46.852027
701600;"GR";"Trin Mulin";3734;"Trin";1824;"Bezirk Imboden";491;221;249;242;9.33982;46.832541
701700;"GR";"Flims Dorf";3732;"Flims";1824;"Bezirk Imboden";1710;840;864;846;9.272744365;46.835457
701800;"GR";"Flims Waldhaus";3732;"Flims";1824;"Bezirk Imboden";803;403;400;403;9.2796857;46.836213
701900;"GR";"Fidaz";3732;"Flims";1824;"Bezirk Imboden";138;73;69;69;9.29017436;46.854327
702300;"GR";"Haldenstein";3941;"Haldenstein";1826;"Bezirk Landquart";1001;422;499;502;9.508404;46.881341
702600;"GR";"Maladers";3926;"Maladers";1829;"Bezirk Plessur";486;226;244;242;9.568105;46.83973
702700;"GR";"Castiel";3921;"Arosa";1829;"Bezirk Plessur";139;64;72;67;9.616764;46.839816
702701;"GR";"Lüen";3921;"Arosa";1829;"Bezirk Plessur";115;39;59;56;9.616764;46.839816
